Date,AAPL.US Close,MSFT.US Close,ADBE.US Close,AMZN.US Close,PEP.US Close,AAPL.US High,MSFT.US High,ADBE.US High,AMZN.US High,PEP.US High,AAPL.US Low,MSFT.US Low,ADBE.US Low,AMZN.US Low,PEP.US Low,AAPL.US Open,MSFT.US Open,ADBE.US Open,AMZN.US Open,PEP.US Open,AAPL.US Volume,MSFT.US Volume,ADBE.US Volume,AMZN.US Volume,PEP.US Volume
2024-12-20,253.344,436.6,447.17,224.92,152.79,253.852,443.74,451.42,226.21,153.49,244.584,428.63,432.47,218.73,150.51,246.924,433.11,433.015,219.84,150.86,148162352.0,64263694.0,8220033.0,88279184.0,19205164.0
2024-12-23,254.121,435.25,446.74,225.06,151.29,254.499,437.65,451.4299,226.88,152.41,252.308,432.83,443.4201,223.9,149.7056,253.623,436.74,447.0,225.01,152.41,41043567.0,19152519.0,3781194.0,28070007.0,6822232.0
2024-12-24,257.037,439.33,447.94,229.05,152.81,257.047,439.6,448.8653,229.14,152.83,254.141,434.19,442.5701,226.13,150.41,254.339,434.65,446.5,226.94,150.5,23339789.0,7164543.0,1685003.0,15007497.0,3399800.0
2024-12-26,257.854,438.11,450.16,227.05,152.44,258.929,440.94,452.34,228.5,153.1799,256.47,436.63,444.68,226.6706,152.24,257.027,439.08,445.85,228.5,152.53,27386286.0,8199927.0,2134310.0,16174500.0,5529590.0
2024-12-27,254.439,430.53,446.48,223.75,152.89,257.535,435.22,449.91,226.03,153.47,251.921,426.35,441.105,220.9,151.26,256.669,434.6,446.88,225.6,151.29,42546883.0,18117713.0,2947179.0,27367147.0,4287007.0
2024-12-30,251.065,424.83,445.8,221.3,151.72,252.358,427.55,447.6,222.9972,153.09,249.621,421.9,438.57,218.43,151.09,251.095,426.06,442.94,220.06,152.66,35718359.0,13158703.0,3473172.0,28321240.0,5397016.0
2024-12-31,249.292,421.5,444.68,219.39,152.06,252.141,426.73,448.4999,223.2299,153.15,248.307,420.66,442.81,218.94,150.94,251.304,426.1,446.35,222.965,151.8,39659279.0,13246509.0,2285132.0,24819655.0,4274960.0
2025-01-02,242.752,418.58,441.0,220.22,150.21,247.978,426.07,450.12,225.15,153.66,240.733,414.85,440.56,218.19,149.89,247.809,425.53,447.76,222.03,152.88,55992832.0,16896469.0,2507887.0,33956579.0,4970233.0
2025-01-03,242.265,423.35,430.57,224.19,149.65,243.081,424.03,433.2982,225.36,150.96,240.801,419.54,425.32,221.62,149.56,242.265,421.08,429.445,222.505,150.96,40426127.0,16662943.0,5619372.0,27515606.0,5221639.0
2025-01-06,243.897,427.85,431.18,227.61,146.27,246.215,434.32,436.4082,228.835,149.95,242.105,425.4774,427.79,224.84,146.1,243.21,428.0,431.88,226.78,149.6,45249300.0,20573648.0,3994400.0,31849831.0,9470626.0
2025-01-07,241.119,422.37,422.63,222.11,145.4,244.444,430.65,435.18,228.381,147.97,240.263,420.8,420.51,221.46,145.34,241.886,429.0,431.37,227.9,146.46,41040741.0,18139065.0,4181405.0,28084164.0,7473300.0
2025-01-08,241.608,424.56,419.58,222.13,146.54,242.615,426.97,422.66,223.52,146.67,238.969,421.54,415.51,220.2,144.56,240.831,423.46,417.34,223.185,145.4,37799126.0,15054575.0,3508786.0,25033292.0,6791848.0
2025-01-10,235.783,418.95,405.92,218.94,142.64,239.078,424.71,413.1,221.71,145.575,231.95,415.02,405.32,216.5,141.51,238.929,424.63,410.0,221.46,145.0,61989958.0,20201132.0,5564262.0,36811525.0,9632651.0
2025-01-13,233.345,417.19,408.5,218.46,144.5,233.614,418.5,409.96,219.4,145.14,228.685,412.29,403.75,216.47,142.14,232.479,415.235,404.27,218.06,142.79,49855192.0,17604780.0,4558780.0,27262655.0,8101358.0
2025-01-14,232.23,415.67,412.71,217.76,144.95,235.057,419.74,412.75,221.82,145.14,231.426,410.72,405.0701,216.2,143.56,233.693,417.81,407.25,220.44,144.19,39613650.0,16935856.0,3577116.0,24711650.0,6996448.0
2025-01-15,236.799,426.31,417.28,223.35,144.78,237.884,428.15,423.97,223.57,146.2,233.375,418.265,415.66,220.75,144.17,233.579,419.13,421.7,222.83,145.49,40012118.0,19637838.0,4345781.0,31291257.0,7141555.0
2025-01-16,227.232,424.58,426.93,220.66,146.54,236.939,429.49,428.89,224.65,146.79,227.004,424.39,418.0,220.31,143.69,236.282,428.695,418.21,224.42,144.05,72083600.0,15300023.0,4185552.0,24757276.0,5068040.0
2025-01-17,228.944,429.03,429.99,225.94,148.25,231.244,434.48,435.99,226.51,148.62,227.452,428.17,425.7,223.08,147.17,231.069,434.085,434.345,225.84,147.72,68798056.0,26197507.0,4012745.0,42370123.0,7338870.0
2025-01-21,221.637,428.5,436.36,230.71,148.55,223.409,430.8999,439.98,231.78,149.78,218.392,425.595,431.5,226.94,147.77,222.992,430.2,433.26,228.9,148.33,98513977.0,26085703.0,3833294.0,39951456.0,7456182.0
2025-01-22,222.822,446.2,437.32,235.01,148.09,223.112,447.27,439.73,235.44,149.45,218.8,436.0,433.43,231.19,147.79,218.8,437.56,438.0,232.02,148.23,64416527.0,27803811.0,3391642.0,41448217.0,5905060.0
2025-01-23,222.652,446.71,437.28,235.42,148.62,226.008,446.75,437.73,235.52,148.9399,221.299,441.5048,432.49,231.51,146.61,223.728,442.0,435.88,234.1,148.49,60507186.0,18389270.0,2716742.0,26404364.0,4759125.0
2025-01-24,221.777,444.06,435.38,234.85,149.12,224.614,446.65,441.8799,236.4,149.31,220.413,441.4,434.73,232.93,148.13,223.768,445.16,437.28,234.5,148.82,54945292.0,15549453.0,2631804.0,25890738.0,4509550.0
2025-01-27,228.825,434.56,438.6,235.42,154.61,231.104,435.2,445.4499,235.61,155.47,222.972,423.5,430.12,225.86,150.895,223.012,424.01,430.23,226.21,150.92,95292461.0,35647805.0,5086254.0,49428332.0,9820585.0
2025-01-28,237.187,447.2,442.84,238.15,150.25,239.108,448.38,445.805,241.77,154.61,229.771,431.38,431.64,233.98,150.12,229.81,434.6,436.27,234.29,154.145,76049976.0,23491703.0,5376392.0,41587188.0,6349670.0
2025-01-29,238.282,442.33,441.68,237.07,150.37,238.776,446.88,444.36,240.39,152.0,232.956,440.4,438.825,236.15,150.23,233.066,446.69,439.92,239.015,151.13,45691822.0,23581370.0,2997604.0,26091716.0,4874072.0
2025-01-30,236.52,414.99,446.0,234.64,151.9,239.707,422.86,448.42,237.95,153.08,236.142,413.16,439.23,232.22,150.63,237.591,418.77,439.67,237.14,151.28,55910007.0,54586260.0,3290128.0,32020728.0,4671278.0
2025-01-31,234.937,415.06,437.45,237.68,150.69,246.077,420.69,447.0095,240.29,151.69,232.39,414.91,435.83,236.41,150.27,246.077,418.98,446.975,236.5,150.76,101532266.0,34223388.0,4689083.0,36162377.0,4906744.0
2025-02-03,226.984,410.92,438.6,237.42,150.27,230.786,415.41,442.74,239.25,151.13,224.684,408.66,430.88,232.9,148.83,228.954,411.6,437.8,234.06,149.755,73393748.0,25679149.0,3348717.0,37285868.0,7196227.0
